Region	Name	Address	County	Postcode	Phone Number	Latitude	Longitude	Grid Ref	OS Map	Year	Email	Web	Notes
Wales	Manorbier	Manorbier, nr Tenby	Pembrokeshire	SA70 7TT	0845 371 9031	51.644801	-4.776360	SS 080 977	158	1987	manorbier@yha.org.uk	http://www.yha.org.uk/hostel/manorbier	
Wales	Marloes Sands	Runwayskiln, Marloes, Haverfordwest	Pembrokeshire	SA62 3BH	0845 371 9333	51.726955	-5.218742	SM 778 080	157	1978	marloessands@yha.org.uk	http://www.yha.org.uk/hostel/marloes-sands	
Wales	Newport	Lower St Mary Street, Newport	Pembrokeshire	SA42 0TS	0845 371 9543	52.017354	-4.830712	SN 059 392	145	1995	newport@yha.org.uk	http://www.yha.org.uk/hostel/newport	Trefdreath
Wales	Pen-y-Pass	Pen-y-Pass, Nantgwynant, Caernarfon	Gwynedd	LL55 4NY	0845 371 9534	53.080876	-4.020846	SH 647 556	115	1970	penypass@yha.org.uk	http://www.yha.org.uk/hostel/pen-y-pass	
Wales	Poppit Sands	Sea View, Poppit, Cardigan	Pembrokeshire	SA43 3LP	0845 371 9037	52.106396	-4.710276	SN 145 488	145	1950	poppit@yha.org.uk	http://www.yha.org.uk/hostel/poppit-sands	
Wales	Port Eynon	Old Lifeboat House, Port Eynon, Swansea	West Glamorgan	SA3 1NN	0845 371 9135	51.541374	-4.209829	SS 468 848	159	1950	porteynon@yha.org.uk	http://www.yha.org.uk/hostel/port-eynon	
Wales	Pwll Deri	Castell Mawr, Trefasser, Goodwick	Pembrokeshire	SA64 0LR	0845 371 9536	52.007073	-5.072266	SM 892 388	157	1956	pwllderi@yha.org.uk	http://www.yha.org.uk/hostel/pwll-deri	
Wales	Rhossili Bunkhouse	Rhossili Activity Centre, Middleton, Rhossili, Swansea	West Glamorgan	SA3 1PJ	01792 401548	51.569640	-4.274508	SS 425 881	145	2007	rhossili@yha.org.uk	http://www.yha.org.uk/hostel/rhossili-bunkhouse	
Wales	Rowen	Rhiw Farm, Rowen	Conwy	LL32 8YW	0845 371 9038	53.230980	-3.879091	SH 747 721	115	1948	conwy@yha.org.uk	http://www.yha.org.uk/hostel/rowen	
Wales	Snowdon Ranger	Rhyd Ddu, Caernarfon	Gwynedd	LL54 7YS	0845 371 9659	53.073296	-4.143262	SH 565 550	115	1939	snowdon@yha.org.uk	http://www.yha.org.uk/hostel/snowdon-ranger	
Wales	St Davids	Llaethdy, Whitesands, St David's	Pembrokeshire	SA62 6PR	0845 371 9141	51.902160	-5.286795	SM 740 277	157	1973	stdavids@yha.org.uk	http://www.yha.org.uk/hostel/st-davids	
Wales	Swansea Bunkhouse	Dan-y-Coed House, Huntington Close, West Cross, Swansea	West Glamorgan	SA3 5AL	01792 401548	51.591200	-3.999300	SS 616 899	159	2007	swansea@yha.org.uk	http://www.yha.org.uk/hostel/swansea-bunkhouse	
Wales	Sychpwll  Camping Barn	Sychpwll, Llandrinio	Powys	SY22 6SH	0800 0191 700	52.752702	-3.022914	SJ 311 177			campingbarns@yha.org.uk	http://www.yha.org.uk/barn/sychpwll-camping-barn	
Wales	Tyncornel Bunkhouse	Llanddewi-Brefi, Tregaron	Ceredigion	SY25 6PH	0870 770 8868	52.165525	-3.828126	SN 751 535	147	1967	tyncornel@yha.org.uk	http://www.yha.org.uk/hostel/tyncornel-bunkhouse	Most remote hostel
Yorkshire	Beverley Friary	Friar's Lane, Beverley	East Yorkshire	HU17 0DF	0845 371 9004	53.839690	-0.422850	TA 039 393	107	1984	beverleyfriary@yha.org.uk	http://www.yha.org.uk/hostel/beverley-friary	
Yorkshire	Bivouac Camping Barn	Druids Temple Masham, Ripon	North Yorkshire	HG4 4JZ	0800 0191 700	54.203646	-1.726270	SE 180 787	99		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/bivouac-camping-barn	
Yorkshire	Boggle Hole	Mill Beck, Fylingthorpe, Whitby	North Yorkshire	YO22 4UQ	0845 371 9504	54.422785	-0.531346	NZ 954 040	94	1952	bogglehole@yha.org.uk	http://www.yha.org.uk/hostel/boggle-hole	
Yorkshire	Brompton Camping Barn	Village Farm, 24 Richmond Road, Brompton-on-Swale	North Yorkshire	DL10 7HE	0800 0191700	54.392810	-1.667670	SE 217 998	99		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/brompton-camping-barn	
Yorkshire	Dalby Forest	Old School, Lockton, Pickering	North Yorkshire	YO18 7PY	0845 371 9128	54.298660	-0.704949	SE 844 900	94		lockton@yha.org.uk	http://www.yha.org.uk/hostel/dalby-forest	
Yorkshire	Earby	9-11 Birch Lane, Earby, Barnoldswick	Lancashire	BB18 6JX	0845 371 9016	53.918079	-2.130656	SD 915 469	103	1955	earby@yha.org.uk	http://www.yha.org.uk/hostel/earby	
Yorkshire	Farndale Camping Barn	Oak House, Farndale, Kirkbymoorside	North Yorkshire	YO62 7LH	0800 0191 700	54.378360	-0.986730	SE 659 986	94		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/farndale-camping-barn	
Yorkshire	Grinton Lodge	Grinton, Richmond	North Yorkshire	DL11 6HS	0845 371 9636	54.373774	-1.927156	SE 048 976	98	1949	grinton@yha.org.uk	http://www.yha.org.uk/hostel/grinton-lodge	
Yorkshire	Hawes	Lancaster Terrace, Hawes	North Yorkshire	DL8 3LQ	0845 371 9120	54.303579	-2.203832	SD 868 898	98	1972	hawes@yha.org.uk	http://www.yha.org.uk/hostel/hawes	
Yorkshire	Haworth	Longlands Drive, Lees Lane, Haworth, Keighley	West Yorkshire	BD22 8RT	0845 371 9520	53.836840	-1.942332	SE 039 378	104	1976	haworth@yha.org.uk	http://www.yha.org.uk/hostel/haworth	
Yorkshire	Helmsley	Carlton Lane, Helmsley	North Yorkshire	YO62 5HB	0845 371 9638	54.248285	-1.057220	SE 615 840	100	1964	helmsley@yha.org.uk	http://www.yha.org.uk/hostel/helmsley	
Yorkshire	Ingleton	Sammy Lane, Ingleton, Carnforth	Lancashire	LA6 3EG	0845 371 9124	54.155057	-2.467694	SD 696 734	98	1935	ingleton@yha.org.uk	http://www.yha.org.uk/hostel/ingleton	
Yorkshire	Kettlewell	Kettlewell, Skipton	North Yorkshire	BD23 5QU	0845 371 9025	54.147330	-2.046590	SD 971 724	98	1934	kettlewell@yha.org.uk	http://www.yha.org.uk/hostel/kettlewell	
Yorkshire	Kildale Camping Barn	Park Farm, Kildale, Whitby	North Yorkshire	YO21 2RN	0800 0191 700	54.467680	-1.071650	NZ 603 084	94		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/kildale-camping-barn	
Yorkshire	Leeds Carnegie Village	Carnegie Village, Leeds Metropolitan University, Headingley Campus, Leeds	West Yorkshire	LS6 3GZ		53.826281	-1.595369	SE 267 367	104		conferences@leedsmet.ac.uk	http://www.yha.org.uk/hostel/leeds-carnegie-village	
Yorkshire	Leeds Kirkstall Brewery	Kirkstall Brewery, Leeds Metropolitan University, Broad Lane, Leeds	West Yorkshire	LS5 3RX		53.815434	-1.609386	SE 258 355	104		conferences@leedsmet.ac.uk	http://www.yha.org.uk/hostel/leeds-kirkstall-brewery	
Yorkshire	Leeds Opal	Opal One, Leeds Metropolitan University 1-3 Burley Road, Leeds	West Yorkshire	LS3 1LS		53.801095	-1.564091	SE 288 340	104		conferences@leedsmet.ac.uk	http://www.yha.org.uk/hostel/leeds-opal	
Yorkshire	Low Row Camping Barn	Low Whita Farm Low Row Richmond	North Yorkshire	DL11 6NT	0800 0191 700	54.379460	-1.996260	SE 003 982	92		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/low-row-camping-barn	
Yorkshire	Malham	Malham, Skipton	North Yorkshire	BD23 4DB	0845 371 9529	54.062513	-2.152044	SD 901 630	98	1949	malham@yha.org.uk	http://www.yha.org.uk/hostel/malham	
Yorkshire	Mankinholes	Mankinholes, Todmorden	Lancashire	OL14 6HR	0845 371 9751	53.708477	-2.061909	SD 960 236	103	1943	mankinholes@yha.org.uk	http://www.yha.org.uk/hostel/mankinholes	
Yorkshire	Osmotherley	Cote Ghyll Mill, Osmotherley, Northallerton	North Yorkshire	DL6 3AH	01609 883425	54.376449	-1.291559	SE 461 981	100	1981	mill@coteghyll.com	http://www.yha.org.uk/hostel/osmotherley	
Yorkshire	Richmond Camping Barn	East Applegarth Farm, Westfields, Richmond	North Yorkshire	DL10 4SD		54.410658	-1.794610	NZ 134 017	92		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/richmond-camping-barn	
Yorkshire	Scarborough	Burniston Road, Scarborough	North Yorkshire	YO13 0DA	0845 371 9657	54.302293	-0.424379	TA 026 908	101	1936	scarborough@yha.org.uk	http://www.yha.org.uk/hostel/scarborough	
Yorkshire	Sinnington Camping Barn	Cliff Farm, Sinnington, York	West Yorkshire	YO6 6SS	0800 0191 700	54.254790	-0.848500	SE 751 850	99		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/sinnington-camping-barn	
Yorkshire	Whitby	Abbey House, East Cliff, Whitby	North Yorkshire	YO22 4JT	0845 371 9049	54.487423	-0.608271	NZ 903 111	94	2007	whitby@yha.org.uk	http://www.yha.org.uk/hostel/whitby	
Yorkshire	York	Water End, Clifton, York	North Yorkshire	YO30 6LP	0845 371 9051	53.968511	-1.102822	SE 590 529	105	1946	york@yha.org.uk	http://www.yha.org.uk/hostel/york	
